AAK1;AP2M1
AKT3;AGO2
AKT3;BAD
AKT3;STK3
AKT3;FOXO3
AKT3;CREB1
AKT3;POU5F1
AKT3;HSPB1
AKT3;STK4
AKT3;BRAF
AKT3;CHUK
AKT3;GSK3B
ALK;STAT3
ALK;SHC1
ALK;SFPQ
ALK;PLCG1
ALK;SHC3
AMER1;GSK3B
AMH;AMHR2
AMHR2;ACVR1
AMHR2;BMPR1B
ANGPT1;TEK
ANGPT1;TIE1
ANGPT2;TEK
ANGPT4;TEK
ANGPTL1;TEK
ANGPTL1;TEK
AP2M1;EGFR
APPL1;STK11
ARAF;MAP2K2
ARAF;MAP2K1
AREGB;ERBB2
AREGB;EGFR
ARFGAP1;LRRK2
ARHGEF7;LRRK2
ATG7;MAP1LC3A
ATG7;MAP1LC3B
ATG7;GABARAPL2
ATG7;ATG12
ATG7;MAP1LC3C
ATM;STK11
ATM;CHEK2
ATM;TP53
ATM;RAD9A
ATM;HNF1A
ATM;BRCA1
ATM;MDM2
ATM;NBN
ATM;MRE11A
ATM;TP63
ATR;NBN
ATR;MDM2
ATR;BRCA1
ATR;CHEK2
ATR;TP53
AURKA;BRCA1
AURKA;MAPRE3
AURKA;PARD3
AURKA;TP53
AURKA;AR
AURKA;CETN2
AURKA;MAP9
AURKA;RASSF1
AURKA;FADD
AURKA;PIN1
AURKA;TP53
AURKA;AURKA
AURKA;MBD3
AURKA;LATS2
AURKA;PLK1
AURKA;FAF1
AURKA;CDC25B
AURKA;HIST1H3J
AURKB;INCENP
AURKB;AURKB
AURKB;H3F3B
AURKB;GFAP
AURKB;HDAC9
AURKB;KIF2C
AURKB;DSN1
AURKB;DES
AURKB;HDAC4
AURKB;CHMP4C
AURKB;NINL
AURKB;NDC80
AURKB;RASSF1
AURKB;NSUN2
AURKB;HIST1H3J
AURKB;HDAC5
AURKB;KIF2C
AURKB;CASC5
AURKB;DIAPH2
AURKB;YY1
AURKB;VIM
AURKB;MAPRE3
AURKB;RACGAP1
AURKB;BIRC5
AURKB;TP53
AURKB;ATM
AURKB;PLEKHG6
AURKB;CKAP2
AURKC;HIST1H3J
AXIN2;GSK3B
BAD;TP53
BAD;BCL2
BARD1;BRCA1
BBC3;BCL2
BCAR1;SMAD3
BCL2;BAX
BCL2;BAK1
BCL2;BECN1
BCL2L11;BCL2
BCL3;HDAC3
BCR/ABL fusion;CRKL
BIK;BCL2L1
BIRC2;BIRC2
BIRC2;CASP2
BIRC2;TRAF2
BIRC2;RIPK1
BIRC3;BIRC2
BLVRA;PRKCB
BMP4;BMP4
BMP4;BMPR2
BMP7;ACVR1
BMPR1A;SMAD5
BMPR1B;SMAD5
BMPR2;ACVR1
BMX;PTK2
BORA;PLK1
BORA;AURKA
BRAF;MAP2K1
BRAF;MAP2K2
BRCA1;RBBP8
BRCA2;POLH
BRSK2;PRKAA1
BTC;ERBB4
BTC;EGFR
BUB1;PLK1
C1D;NR1D1
CAMK2A;PTK2
CAMK2B;PRKAA1
CAMKK1;PRKAA1
CAMKK2;PRKAA1
CASP3;AKT1
CASP3;PARP1
CASP3;IKBKB
CASP3;DFFA
CASP6;LMNA
CASP7;PARP1
CBL;EGFR
CBL;ERBB2
CBL;INSR
CBLB;EGFR
CCL1;CCR8
CCL2;CCR4
CCND1;HDAC3
CCNY;CDK14
CDC25A;MAPK3
CDC25A;RAF1
CDC42;GSK3B
CDC42BPA;LIMK2
CDC73;CTNNB1
CDK1;NCOA3
CDK1;KIF22
CDK1;BCL2
CDK1;ECT2
CDK1;TP53
CDK1;CDC23
CDK1;ECT2
CDK1;NUP98
CDK1;PTTG1
CDK1;RAD9A
CDK1;BRCA1
CDK1;EGFR
CDK1;ERCC6L
CDK1;LMNA
CDK1;CEP55
CDK1;FANCG
CDK11A;CDK11B
CDK11B;EIF3F
CDK14;LRP6
CDK2;CEBPB
CDK2;BRCA1
CDK2;TP63
CDK2;ESR1
CDK2;TP53
CDK3;JUN
CDK4;BRCA1
CDK5;EPRS
CDK5;PTK2
CDK5;TP53
CDK5;NOS3
CDK6;CDKN1B
CDK6;RUNX1
CDK6;RUNX1
CDK6;CDKN1B
CDK6;CDKN1A
CDK6;RB1
CDK6;PRDX1
CDK7;ESR1
CDK7;CDK11B
CDK7;TP53
CDK9;TP53
CDK9;SUPT5H
CDKL5;AMPH
CDKL5;CDKL5
CDKN1A;CDK6
CDKN2A;CDK6
CDKN2A;TP53
CDKN2A;MDM2
CDKN2AIP;TP53
CDKN2C;CDK6
CGA;TSHR
CHEK1;AURKB
CHEK1;TP53
CHEK1;RAD51
CHEK2;TP53
CHEK2;KIT
CHEK2;PPP2R5C
CHEK2;TTK
CHEK2;MDM4
CHEK2;RB1
CHEK2;BRCA1
CHEK2;VHL
CHEK2;CHEK2
CHEK2;XRCC1
CHEK2;CDC25C
CHEK2;MAPT
CHEK2;FOXM1
CHEK2;CDC25A
CHEK2;RASGRF1
CHEK2;E2F1
CHUK;TAX1BP1
CHUK;NFKB2
CHUK;NCOR2
CHUK;H3F3B
CHUK;RELA
CHUK;CREBBP
CHUK;MAP3K14
CHUK;CYLD
CHUK;FOXO3
CHUK;NCOA3
CHUK;TRAF4
CHUK;FOXA2
CHUK;IRF7
CHUK;NFKB1
CHUK;CYLD
CHUK;CCND1
CHUK;TSC2
CHUK;NFKBIA
CNKSR1;RAF1
CNKSR2;RAF1
COL1A1;DDR1
COL1A1;ITGA2
COL2A1;ITGA2
CREB5;JUN
CREBBP;STAT2
CREBBP;IFNAR2
CRKL;MAP4K1
CRTC2;AKT1
CSF1;CSF2RA
CSF1;CSF3R
CSF1R;CSF1R
CSF1R;CSF1R
CSNK1A1;HNRNPC
CSNK1A1;FOXO3
CSNK1A1;GSK3B
CSNK1A1;FADD
CSNK1D;NCOA3
CSNK1D;MDM2
CSNK1D;TP53
CSNK2A1;PRPF3
CSNK2A1;SPIB
CSNK2A1;SPTBN1
CSNK2A1;TOP2A
CSNK2A1;JUN
CSNK2A1;AKT1
CSNK2A1;CFTR
CSNK2A1;HNRNPC
CSNK2A1;ESR1
CSNK2A1;ESR1
CSNK2A1;CBX1
CSNK2A1;PTEN
CSNK2A1;SLK
CSNK2A1;PTGES3
CSNK2A1;PKD2
CSNK2A1;CFTR
CSNK2A1;EIF2S2
CTNNB1;HIST1H3J
CTNNB1;TCF7
CTNNB1;TRRAP
CUL3;HSF2
CX3CL1;CX3CR1
DAB2;LRP6
DAPK1;TP53
DAPK3;MDM2
DAPK3;TP53
DAPK3;DAPK3
DAPK3;MYL9
DAPK3;RPL13A
DAPK3;MYL12B
DAXX;MDM2
DDR2;SHC1
DDX5;TP53
DFFA;DFFB
DIABLO;BIRC2
DLK2;NOTCH1
DNM2;MYO1C
DNM2;GJB2
DUSP1;MAPK3
DUSP26;FADD
DUSP26;TP53
DUSP3;MAPK3
DUSP5;MAPK3
DUSP6;MAPK3
DUSP9;MAPK3
DVL1;JUN
DVL1;GSK3B
DVL1P1;PRKCB
DYRK1A;FOXO3
DYRK1A;TP53
DYRK1B;HNF1A
DYRK2;TP53
DYRK2;JUN
EEF2K;EEF2
EFNA1;EPHA6
EFNA2;EPHA6
EFNB1;EPHB1
EFNB1;EPHB4
EGF;EGFR
EGF;ERBB2
EGFR;CALM3
EGFR;ERBB3
EGFR;SHC1
EGFR;SHC3
EGFR;STAT5B
EGFR;EGFR
EGFR;STAT5A
EGFR;PTK2
EGFR;HGS
EGFR;VAV2
EGFR;HDAC6
EGFR;PLCG1
EGFR;PTPN1
EGFR;GRB2
EGFR;GSTP1
EGFR;MUC1
EGFR;GAB1
EGFR;STAT1
EGFR;PIK3R1
EGFR;PKIA
EGFR;PCNA
EGFR;PIK3C2B
EGFR;EZR
EGFR;EPB41
EGFR;EPS15
EGFR;STAT3
EGFR;GRB2
EGFR;ERBB2
EGFR;ESR1
EGFR;CBL
EGFR;ANXA1
EGFR;SHC2
EGFR;RGS16
EGFR;NCK2
EIF2AK2;TP53
EIF3I;TGFBR2
EP300;MAML1
EP300;TP53
EPGN;EGFR
EPN1;EGFR
EPS15;EGFR
ERBB2;PLCG1
ERBB2;EGFR
ERBB2;DOCK7
ERBB2;SHC3
ERBB2;CDK1
ERBB2;ERBB2
ERBB2;GRB2
ERBB2;ERBB3
ERBB2;ERBB2
ERBB2;ERBB4
ERBB2;SHC1
ERBB2;ESR1
ERBB3;PIK3CD
ERBB3;PIK3CG
ERBB3;PIK3CB
ERBB3;GRB2
ERBB3;PIK3CA
ERBB3;SHC3
ERC1;CHUK
EREG;ERBB4
EREG;EGFR
EREG;ERBB3
ERRFI1;EGFR
ESR1;PIK3R1
ESR1;ESR2
ESR1;PIK3R2
F2R;GNAI1
F2RL3;GNAI1
FADD;CASP8
FADD;CASP10
FADD;RIPK1
FAM107A;AKT3
FAM175A;BRCA1
FANCM;TOPBP1
FAS;FADD
FBLN5;ELN
FBXO11;TP53
FBXW11;SKP1
FBXW7;NOTCH4
FBXW7;MYC
FBXW7;NOTCH1
FBXW7;CCDC6
FER;AR
FGF1;FGFR4
FGF1;FGFR2
FGF1;FGFR3
FGF10;FGFR2
FGF17;FGFR2
FGF18;FGFR2
FGF2;FGFR3
FGF2;FGFR2
FGF2;FGFR4
FGF3;FGFR2
FGF4;FGFR2
FGF4;FGFR4
FGF5;FGFR2
FGF6;FGFR4
FGF6;FGFR2
FGFR1;BCAR1
FGFR2;GRB2
FGFR2;FRS2
FGFR3;FGFR3
FGFR3;FGFR3
FGFR4;FGFR4
FGFR4;FRS2
FGR;PTK2
FIGF;FLT4
FIP1L1;PAPOLA
FKBP8;MTOR
FLT4;FLT4
FLT4;RPS6KA3
FOXO3;CDKN1B
FOXO3;RBL2
FRAT1;GSK3B
FRAT2;GSK3B
FST;MSTN
FST;INHBA
FUS;PA2G4
FYN;DLG4
GAS6;AXL
GATA3;CEBPB
GDF11;ACVR2B
GDF11;ACTR2
GH1;PRLR
GLI3;MED12
GMPS;TP53
GNAI1;PLD2
GNB2L1;PTK7
GNG12;AKT2
GOPC;CFTR
GPC4;WNT5A
GPER1;GNAQ
GPER1;EGFR
GPHA2;TSHR
GPI;AMFR
GRB10;INSR
GRB10;IGF1R
GRB2;KIT
GRB7;RND1
GRK5;TP53
GRN;TNFRSF1A
GSK3A;JUN
GSK3A;SFPQ
GSK3B;GLI3
GSK3B;CCND1
GSK3B;GLI2
GSK3B;CDC25A
GSK3B;MAFA
GSK3B;SNAI1
GSK3B;CCND1
GSK3B;CIITA
GSK3B;GYS1
GSK3B;ESR1
GSK3B;MYC
GSK3B;EIF2B4
GSK3B;MAF
GSK3B;GSK3B
GSK3B;EIF2B5
GSK3B;CCND2
GSK3B;CEBPB
GSK3B;MAF
GSK3B;CAMKK2
GSK3B;TSC2
GSK3B;CCNE1
GSK3B;SMAD3
GSK3B;DPYSL2
GSK3B;BAX
GSK3B;MCL1
GSK3B;SMAD1
GSK3B;PHLPP1
GSK3B;SPAG5
GSK3B;EIF2B3
GSK3B;CTNNB1
GSK3B;RELA
GSK3B;NOTCH2
GSK3B;KAT5
GSK3B;GPHN
GSK3B;AXIN1
GSK3B;CCND3
GSK3B;PSEN1
GSK3B;SFPQ
GSK3B;JUN
GSK3B;RBM38
GSK3B;SNCAIP
GSK3B;MAP3K4
GSK3B;BCL2L12
GSK3B;NFE2L1
GSK3B;SREBF1
GSK3B;NACA
GSK3B;LRP6
GSK3B;DPYSL3
GSK3B;NOTCH1
GSK3B;MAFB
GSK3B;NEFH
GSK3B;ROR2
GSK3B;EIF4EBP1
GSK3B;NR1D1
GSK3B;APC
GSK3B;MNX1
GSK3B;CRMP1
GSK3B;HSF1
GSK3B;PRKCE
GSK3B;MAPT
GSK3B;MAPK14
GSK3B;ARNTL
GSK3B;EIF2B2
GSK3B;EIF2B1
GSK3B;FBXO4
GSK3B;HDAC4
GSK3B;DCX
GSK3B;KLF5
GSK3B;BORA
GSK3B;NEB
GSK3B;HIST1H1B
GSK3B;PTEN
GSK3B;MAFA
GSK3B;MAML1
GSK3B;NFATC2
GSK3B;MAFB
GSK3B;CDKN1A
GSK3B;NR3C1
GSK3B;HNRNPD
GUCA2A;GUCY2C
GUCA2B;GUCY2C
H2AFX;NBN
HAND2;HAND2
HBEGF;EGFR
HCK;HCK
HCK;ELMO1
HCK;BCR/ABL fusion
HCK;HCK
HCK;RAPGEF1
HCK;ADAM15
HDAC3;SMAD7
HDAC3;E2F1
HDAC3;HDAC1
HDAC6;SRSF2
HGF;MET
HIPK2;TP53
HLA-G;KLRC1
HLA-G;LILRB1
HRAS;BRAF
HRAS;JUN
HRAS;RAF1
HRAS;ARAF
HRK;BCL2L1
HRK;BCL2
HSP90AA1;NOS3
HSPG2;PTPRS
ICK;RPTOR
IFNA13;IFNAR2
IFNB1;IFNAR2
IFNGR1;JAK2
IFNW1;IFNAR2
IGF1;IGF1R
IGF1R;PIK3C2A
IGF1R;PIK3CA
IGF1R;IRS2
IGF1R;PIK3R3
IGF1R;IGF1R
IGF1R;IGF1R
IGF1R;PDPK1
IGF1R;IRS1
IGF1R;IRS4
IGF2;INSR
IKBKB;IKBKG
IKBKB;TSC1
IKBKB;CYLD
IKBKB;NFKB1
IKBKB;DOK1
IKBKB;NFKBIA
IKBKB;RELA
IKBKB;IKBKB
IKBKB;NFKBIB
IKBKB;FOXO3
IKBKB;BAD
IKBKB;CDKN2A
IKBKB;CYLD
IKBKB;YWHAB
IKBKE;ESR1
IKBKE;FOXO3
IKBKG;IKBKB
IL23R;JAK2
IL31RA;JAK2
IL3RA;JAK2
IL6ST;JAK2
ILK;AKT1
INCENP;AURKB
INHA;TGFBR3
INS;IGF1R
INS;INSR
INSR;PTPN6
INSR;IRS2
INSR;SHC1
INSR;IRS1
INSR;GRB7
INSR;INSR
INSR;IRS4
INSR;CALM3
IRAK1;STAT3
IRAK1;TRAF6
IRAK1;PELI3
IRAK1;IRAK1
IRAK1;PELI1
IRAK4;IRAK1
IRF9;STAT2
IRF9;IFNAR2
JAK1;STAT2
JAK2;GAB2
JAK2;STAM
JAK2;EZH2
JAK2;JAK2
JAK2;STAT5A
JAK2;PTPN11
JAK2;ARHGEF1
JAK2;STAT6
JAK2;MAP3K5
JAK2;PRMT5
JAK2;STAT5B
JAK2;JAK2
JAK2;GTF2I
JAK2;STAT4
JAK2;STAT3
JAK2;STAT1
JDP2;JUN
JUN;TCF4
JUN;SMAD4
KAT6A;TP53
KIT;GRB2
KIT;KIT
KIT;GRB7
KITLG;KIT
KLF16;SIN3A
KMT2D;ESR1
KRAS;RAF1
KRAS;BRAF
KSR1;RAF1
LAMTOR3;MAPK3
LCK;PTEN
LCK;MAPK3
LCK;ESR1
LCK;MUC1
LIMK2;CFL1
LIPH;LPAR2
LPAR1;GNAI1
LPAR2;GNAI1
LPAR2;GNA12
LPAR2;GNA13
LPAR3;GNAQ
LPAR3;GNAI1
LPAR3;GNA12
LPAR3;GNA13
LRIG1;EGFR
LRIG1;ERBB3
LRIG1;ERBB2
LRRK2;MSN
LRRK2;DVL3
LRRK2;LRRK2
LRRK2;LRRK2
LRRK2;MAPT
LRRK2;SH3GL1
LRRK2;SH3GL2
LRRK2;AKT1
LRRK2;AKT
LRRK2;SNAPIN
LRRK2;ARHGEF7
LRRK2;ARFGAP1
LTBP1;TGFB1
MAML1;EP300
MAML1;NOTCH3
MAML1;NOTCH4
MAML1;CCNT1
MAML1;NOTCH2
MAML1;CTNNB1
MAML1;TP53
MAML1;CCNC
MAML1;CDK8
MAML1;RBPJ
MAML1;HIST1H3J
MAML1;NOTCH1
MAML1;HIST4H4
MAML1;MEF2C
MAP2K1;MAPK3
MAP2K1;GSK3B
MAP2K2;MAPK3
MAP2K4;RXRA
MAP2K6;MAPK13
MAP2K7;FADD
MAP3K1;FADD
MAP3K14;CHUK
MAP3K14;IKBKB
MAP3K7;IKBKB
MAP3K8;PLK1
MAP4K3;PRKCQ
MAP4K3;MAP4K3
MAP4K3;MAP3K1
MAP4K5;GSK3B
MAPK1;BCL2
MAPK1;PTTG1
MAPK1;STK11
MAPK1;ARHGEF2
MAPK1;EGFR
MAPK1;RAF1
MAPK1;TP53
MAPK1;ESR1
MAPK1;BRAF
MAPK1;PARP1
MAPK1;JAK2
MAPK1;CEBPB
MAPK1;CAPN2
MAPK1;JUN
MAPK1;GSK3B
MAPK1;CEP55
MAPK1;FOXO3
MAPK1;GSK3B
MAPK1;MKNK2
MAPK1;RXRA
MAPK10;JUN
MAPK10;TP53
MAPK11;TP53
MAPK11;EGFR
MAPK13;KRT8
MAPK13;TP53
MAPK13;STMN1
MAPK13;EEF2K
MAPK13;PRKD1
MAPK14;GSK3B
Mapk14;FOXO3
MAPK14;ESR1
MAPK14;TP53
MAPK14;FOXO3
MAPK14;RPS6KA4
MAPK14;BCL2
MAPK14;HIST1H3J
MAPK14;EGFR
MAPK14;MKNK2
MAPK15;JUN
MAPK3;PLA2G4A
MAPK3;TOB1
MAPK3;SMAD4
MAPK3;LRP6
MAPK3;TWIST1
MAPK3;TH
MAPK3;MCL1
MAPK3;STAT5A
MAPK3;ETS1
MAPK3;CIC
MAPK3;CDKN1B
MAPK3;SPHK1
MAPK3;THRB
MAPK3;CEBPA
MAPK3;PDE4D
MAPK3;RXRA
MAPK3;PLCB1
MAPK3;NCF1
MAPK3;NOS2
MAPK3;ATF2
MAPK3;MKNK1
MAPK3;PTTG1
MAPK3;POU5F1
MAPK3;ARHGEF2
MAPK3;HSF1
MAPK3;LIFR
MAPK3;ABI1
MAPK3;BAZ1B
MAPK3;TSC2
MAPK3;E2F1
MAPK3;RPS3
MAPK3;JUND
MAPK3;PML
MAPK3;BAD
MAPK3;CIITA
MAPK3;NCOA1
MAPK3;H3F3B
MAPK3;RPS6KA3
MAPK3;CASP9
MAPK3;NUP50
MAPK3;FOS
MAPK3;MKL1
MAPK3;SYN3
MAPK3;THRB
MAPK3;MAPKAPK2
MAPK3;IRS1
MAPK3;CAD
MAPK3;CALD1
MAPK3;PPARG
MAPK3;IL16
MAPK3;RPTOR
MAPK3;RAF1
MAPK3;MBP
MAPK3;RPS6KA5
MAPK3;TFCP2
MAPK3;SREBF1
MAPK3;FOXO3
MAPK3;SMAD2
MAPK3;NR3C1
MAPK3;SULT4A1
MAPK3;SOS1
MAPK3;GTF2I
MAPK3;HDAC6
MAPK3;JUN
MAPK3;PPP2R5C
MAPK3;ADAM17
MAPK3;TP53
MAPK3;RPS6KB1
MAPK3;LAT
MAPK3;ARRB1
MAPK3;SMAD2
MAPK3;CIITA
MAPK3;STAT3
MAPK3;PCYT1A
MAPK3;RPS6KA4
MAPK3;MYL1
MAPK3;PGR
MAPK3;BCL2
MAPK3;KLC1
MAPK3;SREBF2
MAPK3;MYB
MAPK3;DUSP6
MAPK3;RAF1
MAPK3;KARS
MAPK3;SMAD3
MAPK3;SMAD1
MAPK3;BCL2
MAPK3;CTTN
MAPK3;HSPB8
MAPK3;UBTF
MAPK3;RRN3
MAPK3;NFATC4
MAPK3;DUSP1
MAPK3;POLR2A
MAPK3;MAZ
MAPK3;PAK1
MAPK3;GAB2
MAPK3;BCL6
MAPK3;TAL1
MAPK3;SP1
MAPK3;TAL1
MAPK3;SP3
MAPK3;NFATC1
MAPK3;ADRBK1
MAPK3;MAGEA11
MAPK3;LCK
MAPK3;RPS6KA2
MAPK3;NOXA1
MAPK3;GSK3B
MAPK3;HIF1A
MAPK3;NCKIPSD
MAPK3;MED1
MAPK3;RPS6KA1
MAPK3;FGFR1
MAPK3;DUSP1
MAPK3;ESR1
MAPK3;GRB10
MAPK3;BCL2L11
MAPK3;BRAF
MAPK3;SPHK2
MAPK3;CAPN2
MAPK3;STK11
MAPK3;ELK1
MAPK3;AMPH
MAPK3;SP1
MAPK3;ETV6
MAPK3;CEBPB
MAPK3;MKNK2
MAPK3;HNRNPK
MAPK3;MAPK3
MAPK3;RUNX2
MAPK3;CASP8
MAPK3;JAK2
MAPK3;EGFR
MAPK6;NCOA3
MAPK8;JUN
MAPK8;RXRA
MAPK8;TP53
MAPK8;BCL2
MAPK8;BCL2
MAPK9;JUN
MAPK9;TP53
MAPK9;JUN
MAPK9;RXRA
MAPKAPK2;MDM2
MAPKAPK2;HSPB1
MAPKAPK2;PLK1
MAPKAPK5;TP53
MARK1;MAPT
MARK2;ARHGEF2
MARK2;PARD3
MARK2;UTRN
MARK2;HDAC7
MARK2;RAB11FIP2
MAST1;PTEN
MAST2;PTEN
MAST3;PTEN
MDC1;NBN
MDM2;NUMB
MDM2;NOTCH1
MDM2;MDM4
MDM2;EP300
MDM2;CDKN2AIP
MDM2;NOTCH4
MDM2;TP53
MDM4;MDM2
MELK;MELK
MELK;CDC25B
MET;PTK2
MIB1;RYK
MINK1;KCNH2
MKNK2;EIF4E
MLN;MLNR
MMP2;TGFB1
MMP9;TGFB1
MOB1A;LATS2
MOB1A;LATS1
MRE11A;NBN
MRE11A;ATM
MSC;TCF3
MSH2;BLM
MTCP1;AKT3
MTCP1;AKT1
MTCP1;AKT2
MTMR3;MTOR
MTMR4;SMAD2
MTMR4;SMAD3
MTOR;EIF4EBP3
MTOR;AKT1S1
MTOR;RPS6KB1
MTOR;TFEB
MTOR;MTOR
MTOR;ATG13
MTOR;RPTOR
MTOR;EIF4EBP1
MTOR;ISCU
MTOR;IRS1
MTOR;AKT
MTOR;EIF4EBP2
MTOR;GRB10
MTOR;MAF1
MTOR;SGK1
MTOR;DEPTOR
MTOR;ULK2
MTOR;STAT3
MTOR;RPS6KB2
MTOR;ULK1
MTOR;AKT1
MUTYH;TOPBP1
MYD88;IRAK1
MYLK;MYL6B
MYLK;MYL9
MYLK;CALD1
MYOD1;VEGFA
NACC1;ZBTB14
NAN1;JUN
NBN;ATM
NCBP1;IRF8
NCOA1;ESR1
NCOA2;RXRA
NCOR2;SNW1
NEK9;NEK7
NFX1;PABPC1
NGF;NTRK1
NIN;JAK2
NKD1;DVL3
NMB;NMBR
NMBR;GNA13
NMBR;GNAQ
NMBR;GNA12
NOG;BMP4
NONO;TOP1
NOTCH1;SNW1
NOXA1;BCL2
NPM1;FBXW7
NR0B2;ESR1
NR1I2;RXRA
NR1I3;RXRA
NR2E3;NR1D1
NR2F1;RXRA
NR2F2;RXRA
NRAS;RAF1
NRAS;BRAF
NRAS;ARAF
NRG1;ERBB3
NRG1;ERBB4
NRG1;ERBB2
NRG2;ERBB3
NTF4;NTRK1
NTRK1;PLCG1
NTRK1;ABL1
NTRK1;SH2B1
NTRK1;NTRK1
NTRK1;SH2B2
NTRK1;SHC1
NTRK1;FRS2
NTRK1;ARHGAP32
NUAK1;TP53
NUAK2;LATS1
NUDT3;AKT2
NUMA1;TUBA1B
NUMB;MDM2
NUMB;TP53
PAK1;PA2G4
PAK1;ESR1
PAK1;PLK1
PAK1;HIST1H3J
PAK1;RAF1
PAK1;AURKA
PAK1;ARAF
PAK1;ARHGEF2
PAK2;JUN
PAK3;RAF1
PAK4;RAN
PALB2;RAD51
PALB2;BRCA1
PALB2;BRCA2
PALB2;POLH
PATZ1;RNF4
PAX1;MEOX1
PAX1;MEOX2
PBK;HIST1H3J
PCM1;PCNT
PCM1;CETN1
PCM1;NIN
PCM1;CETN2
PCM1;CEP250
PCM1;NEK2
PCM1;CETN3
PDGFRB;PTK2
PDK4;PDHA2
PDK4;PDHA1
PDPK1;PLK1
PDPK1;AKT1
PDPK1;PRKCB
PDPK1;AKT2
PDPK1;AKT3
PDPK2P;AKT1
PEBP1;RAF1
PELI1;IRAK1
PELI2;IRAK1
PELI3;IRAK1
PGR;ESR1
PHLPP1;RAF1
PHLPP1;PRKCB
PHLPP1;AKT1
PHLPP1;AKT2
PHLPP2;AKT1
PHLPP2;AKT3
PHLPP2;PRKCB
PIK3C3;PTEN
PIK3C3;AKT1
PIK3CA;AKT2
PIK3CG;AKT1
PIM1;FOXO3
PIM1;RPS19
PIM1;MDM2
PIM1;HIST1H3J
PITX3;MTA1
PJA1;SPTBN1
PKN1;RAF1
PKN1;EGFR
